address,county,bed,bath,prop_type,area,price,price_n
"Farnane, Cappamore, Co. Limerick", Co. Limerick,5 Bed,2 Bath,Detached,,"€250,000",250000.0
"Inchinapough, Brosna, Co. Kerry", Co. Kerry,4 Bed,2 Bath,Bungalow,177 m²,"€180,000",180000.0
"Site At Tinnashinnagh, Gorey, Co. Wexford", Co. Wexford,,,Site,0.7 ac,"€125,000",125000.0
"60 Glasnevin Downs, Glasnevin, Dublin 11", Dublin 11,3 Bed,2 Bath,Semi-D,89 m²,"€385,000",385000.0
"12 Mary Street, Dungarvan, Co. Waterford", Co. Waterford,4 Bed,2 Bath,Terrace,158 m²,"€197,500",197500.0
"339 Tirellan Heights, Headford Road, Co. Galway", Co. Galway,3 Bed,1 Bath,Semi-D,87 m²,"€270,000",270000.0
"49 McGoverns Corner, Cork Street, Dublin 8", Dublin 8,2 Bed,2 Bath,Townhouse,78 m²,"€345,000",345000.0
"Creatland, St. Johnston, Co. Donegal", Co. Donegal,6 Bed,5 Bath,Detached,,"€295,000",295000.0
"Annies, Kilcurry, Dundalk, Co. Louth", Co. Louth,2 Bed,1 Bath,Detached,90 m²,"€200,000",200000.0
"Trihill, Ballygar, Co. Galway", Co. Galway,,,Site,0.7 ac,"€30,000",30000.0
"Apartment 41, Windermere, Gilford Road, Sandymount, Dublin 4", Dublin 4,1 Bed,1 Bath,Apartment,41 m²,"€320,000",320000.0
"2 Radharc Na Mara, Strandhill, Co. Sligo", Co. Sligo,4 Bed,4 Bath,Detached,173 m²,"€375,000",375000.0
"10 Monksfield, Bealnamulla, Athlone, Co. Roscommon", Co. Roscommon,4 Bed,3 Bath,Semi-D,,"€250,000",250000.0
"26 Dundrum Gate, Dundrum, Dublin 14", Dublin 14,2 Bed,2 Bath,Apartment,53 m²,"€335,000",335000.0
"Ballymeeny, Dromore West, Co. Sligo", Co. Sligo,5 Bed,3 Bath,Bungalow,,"€299,000",299000.0
"5 Brú Na Habhainn, Collooney, Co. Sligo", Co. Sligo,3 Bed,3 Bath,Semi-D,102 m²,"€139,000",139000.0
"Corclough West, Belmullet, Co. Mayo", Co. Mayo,,,Site,1 ac,"€50,000",50000.0
"22 Claremont Crescent, Glasnevin, Dublin 11", Dublin 11,4 Bed,3 Bath,Terrace,130 m²,"€435,000",435000.0
"2 Convent Street, Co. Limerick", Co. Limerick,2 Bed,1 Bath,Semi-D,68 m²,"€95,000",95000.0
"4 Collis Court, Jugback Lane, Swords, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Duplex,,"€229,000",229000.0
"18 Dudley Heights, Glenamaddy, Co. Galway", Co. Galway,5 Bed,3 Bath,Detached,140 m²,"€175,000",175000.0
"Cahercroobeen, Kilmaine, Co. Mayo", Co. Mayo,2 Bed,,Detached,56 m²,"€50,000",50000.0
"Dundalk Road, Carlingford, Co. Louth", Co. Louth,3 Bed,1 Bath,Detached,,"€225,000",225000.0
"7 Rosemount Gardens, Ballymurn, Co. Wexford", Co. Wexford,2 Bed,2 Bath,Detached,94 m²,"€220,000",220000.0
"22 Courtfields, Dooradoyle, Co. Limerick", Co. Limerick,5 Bed,5 Bath,Semi-D,,Price on Application,0.0
"13 Knocknahorgan Cottages, Sallybrook, Glanmire, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,80 m²,"€95,000",95000.0
"Newpark, Kiltoom, Co. Roscommon", Co. Roscommon,,,Site,3.2 ac,Price on Application,0.0
"Claggan, Hornhead, Dunfanaghy, Co. Donegal", Co. Donegal,4 Bed,3 Bath,Detached,190 m²,"€299,000",299000.0
"Railway Square, Castle Place, Co. Waterford", Co. Waterford,3 Bed,3 Bath,Apartment,87 m²,"€1,100,000",1100000.0
"58 Lady's Cross, Clonakilty, Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,104 m²,"€295,000",295000.0
"101 Assumption Park, Roscrea, Co. Tipperary", Co. Tipperary,5 Bed,2 Bath,End of Terrace,189 m²,"€160,000",160000.0
"Feebaghbane, Scotstown, Co. Monaghan", Co. Monaghan,,,Site,3.5 ac,"€30,000",30000.0
"3 Steeple View, Collooney, Co. Sligo", Co. Sligo,4 Bed,2 Bath,Detached,121 m²,"€199,000",199000.0
"Woodstock, Ballindine, Co. Mayo", Co. Mayo,3 Bed,1 Bath,Bungalow,,"€89,000",89000.0
"April Rise, Carna, Newbridge, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Detached,129 m²,"€295,000",295000.0
"'Mill O' Rags', Ambrosetown, Duncormick, Co. Wexford", Co. Wexford,2 Bed,1 Bath,Apartment,74 m²,"€150,000",150000.0
"21 Farmhill Park, Goatstown, Dublin 14", Dublin 14,3 Bed,3 Bath,Terrace,112 m²,"€650,000",650000.0
"21 Cluain Droichead, Mount Ievers, Sixmilebridge, Co. Clare", Co. Clare,3 Bed,3 Bath,Semi-D,104 m²,"€235,000",235000.0
"429 Mourne Road, Drimnagh, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,,"€374,950",374950.0
"Doogary, Kilkelly, Co. Mayo", Co. Mayo,4 Bed,5 Bath,Detached,,"€240,000",240000.0
"31 Melrose, Nenagh, Co. Tipperary", Co. Tipperary,4 Bed,2 Bath,Detached,139 m²,"€199,500",199500.0
"45 Cluain Caislean, Ferns, Co. Wexford", Co. Wexford,3 Bed,3 Bath,Semi-D,109 m²,"€225,000",225000.0
"Derrigimlagh, Ballyconneely, Co. Galway", Co. Galway,3 Bed,2 Bath,Detached,227 m²,"€1,100,000",1100000.0
"Johnstown, Castlebridge, Co. Wexford", Co. Wexford,,,Detached,5261 m²,"€40,000",40000.0
"6 Hawthorn Terrace, East Wall, Dublin 3", Dublin 3,4 Bed,2 Bath,Terrace,138 m²,"€475,000",475000.0
"39 Ardmore Grove, Artane, Dublin 5", Dublin 5,3 Bed,1 Bath,Semi-D,,"€440,000",440000.0
"REFLECTIONS HAIR STUDIO, 19 Dunlo Hill, Ballinasloe, Co. Galway", Co. Galway,1 Bed,2 Bath,Terrace,,Price on Application,0.0
"Knockaunnagat, Dunmore, Co. Galway", Co. Galway,4 Bed,2 Bath,Detached,,"€140,000",140000.0
"19 Presentation Road, Co. Galway", Co. Galway,4 Bed,4 Bath,End of Terrace,108 m²,"€350,000",350000.0
"179 Landen Road, Ballyfermot, Dublin 10", Dublin 10,2 Bed,1 Bath,Terrace,70 m²,"€245,000",245000.0
"23 The Avenue, Orlynn Park, Lusk, Co. Dublin", Co. Dublin,3 Bed,2 Bath,Semi-D,83 m²,"€320,000",320000.0
"16 Kilcross Grove, Sandyford, Dublin 18", Dublin 18,3 Bed,1 Bath,End of Terrace,84 m²,"€365,000",365000.0
"17 Inchvale Avenue, Douglas, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,90 m²,"€320,000",320000.0
"9 Dun Uisce, Cahir, Co. Tipperary", Co. Tipperary,3 Bed,3 Bath,Semi-D,,"€165,000",165000.0
"Closeland, Ballybrittas, Co. Laois", Co. Laois,4 Bed,1 Bath,Detached,,"AMV: €250,000",250000.0
"98 Dunsink Avenue, Finglas, Dublin 11", Dublin 11,3 Bed,3 Bath,End of Terrace,137 m²,"€325,000",325000.0
"Apartment 24, Sprangers Yard, Dublin 2", Dublin 2,2 Bed,1 Bath,Apartment,56 m²,"€365,000",365000.0
"No. 63 Pairc Na gCaor, Moycullen, Co. Galway", Co. Galway,3 Bed,1 Bath,Semi-D,94 m²,"€255,000",255000.0
"71 Holywell Drive, Swords, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Apartment,57 m²,"€235,000",235000.0
"Ballytegan Park, Gorey, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Bungalow,128 m²,"€385,000",385000.0
"1029 Avondale, Leixlip, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Terrace,79 m²,"€265,000",265000.0
"Hill View Lodge, Tomnahealy, Tara Hill, Co. Wexford", Co. Wexford,5 Bed,5 Bath,Detached,329 m²,"€649,000",649000.0
"32 Upper John Street, Wexford Town, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Townhouse,,"€165,000",165000.0
"Apartment 101, Crosbie's Yard",,2 Bed,1 Bath,Apartment,65 m²,"€300,000",300000.0
"4 Burren View, Ennis Road, Gort, Co. Galway", Co. Galway,3 Bed,3 Bath,Detached,80 m²,"€179,000",179000.0
"Glencar Scotch, Letterkenny, Co. Donegal", Co. Donegal,3 Bed,3 Bath,Detached,138 m²,"€350,000",350000.0
"Kilgill, Claregalway, Co. Galway", Co. Galway,,,Site,0.5 ac,"€45,000",45000.0
"Hillside House, Castlebin, Ballinasloe, Co. Galway", Co. Galway,3 Bed,2 Bath,Detached,114 m²,"€175,000",175000.0
"Corr Riasc, Bollarney South, Wicklow Town, Co. Wicklow", Co. Wicklow,3 Bed,2 Bath,Bungalow,110 m²,"€415,000",415000.0
"Melantines, Ballygillane Big, Rosslare Harbour, Co. Wexford", Co. Wexford,5 Bed,3 Bath,Detached,202 m²,"€380,000",380000.0
"5 St. Martins Avenue, Naas, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Semi-D,76 m²,"€255,000",255000.0
"54 Portacarron, Ballymoneen Road, Knocknacarra, Co. Galway", Co. Galway,3 Bed,2 Bath,Semi-D,98 m²,"€310,000",310000.0
"Apartment 210, Bachelors Walk Apartments, Dublin 1", Dublin 1,1 Bed,1 Bath,Apartment,38 m²,"€285,000",285000.0
"Castletown - Kennigh Enniskeane Co Cork P47 WD86, Enniskeane, Co. Cork", Co. Cork,4 Bed,2 Bath,Bungalow,,"€220,000",220000.0
"Coolshanagh, Avenue Road, Dundalk, Co. Louth", Co. Louth,4 Bed,2 Bath,Detached,,"€357,500",357500.0
"17 The Paddocks, Westbury, Co. Clare", Co. Clare,3 Bed,2 Bath,Semi-D,94 m²,"€220,000",220000.0
"30 Hazelbrook Crescent, Long Lane, Letterkenny, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Semi-D,104 m²,"€149,000",149000.0
"Mountgarrett, Athenry, Co. Galway", Co. Galway,,,Site,0.5 ac,"€45,000",45000.0
"Munny, Gorey, Co. Wexford", Co. Wexford,1 Bed,1 Bath,Detached,51 m²,"€145,000",145000.0
"6 Deerpark, Crossmolina, Co. Mayo", Co. Mayo,4 Bed,3 Bath,Semi-D,120 m²,"€170,000",170000.0
"Sleveen, Kill, Co. Waterford", Co. Waterford,3 Bed,1 Bath,End of Terrace,81 m²,"€175,000",175000.0
"4 New Brighton Terrace, Parnell Road, Bray, Co. Wicklow", Co. Wicklow,4 Bed,2 Bath,End of Terrace,,"€650,000",650000.0
"The Log Cabin, Keelnacronagh, Enniskeane, Co. Cork", Co. Cork,2 Bed,1 Bath,Detached,48 m²,"€180,000",180000.0
"Killywilly, Ballyconnell, Co. Cavan", Co. Cavan,5 Bed,2 Bath,Detached,,"€295,000",295000.0
"41 Woodlawn Green, Santry, Dublin 9", Dublin 9,3 Bed,2 Bath,Semi-D,100 m²,"€395,000",395000.0
"13 Churchfield, Clontarf Road, Clontarf, Dublin 3", Dublin 3,3 Bed,3 Bath,Terrace,125 m²,"€775,000",775000.0
"10 Jolly Mariner, Athlone, Co. Westmeath", Co. Westmeath,2 Bed,2 Bath,Apartment,,"€190,000",190000.0
"Woodbury, Rathdrinagh, Navan, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,148 m²,"€440,000",440000.0
"36 The Parade, Bastion Court, Athlone, Co. Westmeath", Co. Westmeath,3 Bed,2 Bath,Apartment,,"€350,000",350000.0
"35 Homelawn Road, Tallaght, Dublin 24", Dublin 24,3 Bed,1 Bath,Terrace,117 m²,"€335,000",335000.0
"Apartment 76, Silver Quay, Athlone, Co. Westmeath", Co. Westmeath,2 Bed,2 Bath,Apartment,,"€295,000",295000.0
"19 Mill Court Avenue, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,Terrace,92 m²,"€295,000",295000.0
"52 Belmayne Park North, Balgriffin",,3 Bed,3 Bath,Terrace,104 m²,"€345,000",345000.0
"16 Cromwellsfort Road, Walkinstown, Dublin 12", Dublin 12,4 Bed,2 Bath,Semi-D,102 m²,"€445,000",445000.0
"The Gables, Balla, Castlebar, Co. Mayo", Co. Mayo,5 Bed,4 Bath,Detached,348 m²,"€925,000",925000.0
"1 Mill Yard, Mill Park Road, Enniscorthy, Co. Wexford", Co. Wexford,2 Bed,1 Bath,Terrace,72 m²,"AMV: €100,000",100000.0
"Derreens, Ross, Castlebar, Co. Mayo", Co. Mayo,1 Bed,,Detached,1.24 ac,"€35,000",35000.0
"Cloughbrack Near, Bofeenaun, Ballina, Co. Mayo", Co. Mayo,1 Bed,,Detached,0.42 ac,"€40,000",40000.0
"32 Nutley Road, Donnybrook, Dublin 4", Dublin 4,5 Bed,2 Bath,Semi-D,246 m²,"€1,650,000",1650000.0
"509 Ash Close, Elm Park, Castletroy, Co. Limerick", Co. Limerick,2 Bed,1 Bath,Bungalow,,"€190,000",190000.0
"17 Foxes Covert, Mount Juliet Estate, Thomastown, Kilkenny, Co. Kilkenny", Co. Kilkenny,7 Bed,6 Bath,Detached,628 m²,"€1,550,000",1550000.0
"30 Kempton Avenue, Navan Road (D7), Dublin 7", Dublin 7,4 Bed,2 Bath,Detached,155 m²,"€799,000",799000.0
"94 Nephin Road, Navan Road, Navan Road (D7), Dublin 7", Dublin 7,3 Bed,2 Bath,Semi-D,106 m²,"€670,000",670000.0
"5 Fairhill Road Upper, The Claddagh, Claddagh, Co. Galway", Co. Galway,2 Bed,1 Bath,Terrace,78 m²,"€385,000",385000.0
"4 Whiterock Heights, Wexford Town, Co. Wexford", Co. Wexford,4 Bed,3 Bath,Detached,156 m²,"€320,000",320000.0
"10 Moat Lane, Knocksedan Demesne, Swords, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Semi-D,145 m²,"€525,000",525000.0
"29 Tyrconnell Place, Inchicore, Dublin 8", Dublin 8,2 Bed,2 Bath,Apartment,70 m²,"€295,000",295000.0
"Hildan Country House, Rolestown, Swords, Co. Dublin", Co. Dublin,19 Bed,15 Bath,Detached,,"€1,800,000",1800000.0
"12 The Stables, Coolroe, Ballincollig, Co. Cork", Co. Cork,4 Bed,3 Bath,Semi-D,124 m²,"€380,000",380000.0
"19 Woodmount, Ballinderreen, Co. Galway", Co. Galway,5 Bed,4 Bath,Detached,169 m²,"€429,000",429000.0
"30 Cluain Mhuire, Pallaskenry, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Terrace,74 m²,"€135,000",135000.0
"6 Southbrook Apartments, 21/22 South Terrace, Co. Cork", Co. Cork,1 Bed,1 Bath,Apartment,58 m²,"€185,000",185000.0
"19 The Timber Mill, Artane, Dublin 5", Dublin 5,2 Bed,1 Bath,Apartment,56 m²,"€250,000",250000.0
"8 Cromwellsfort House, Cromwellsfort, Wexford Town, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Apartment,91 m²,"€135,000",135000.0
"14 Churchfield, Clontarf Road, Clontarf, Dublin 3", Dublin 3,4 Bed,4 Bath,Terrace,125 m²,"€700,000",700000.0
"Mullagh, Coole, Co. Westmeath", Co. Westmeath,3 Bed,2 Bath,Detached,,"€239,950",239950.0
"The Line Road, Meelin, Newmarket, Co. Cork", Co. Cork,3 Bed,2 Bath,Detached,99 m²,"€275,000",275000.0
"Knocks, Garadice, Ballinamore, Co. Leitrim", Co. Leitrim,3 Bed,,Detached,95 m²,"€69,000",69000.0
"27 Ard Aoibhinn, Clonmel, Co. Tipperary", Co. Tipperary,3 Bed,2 Bath,Semi-D,,"€185,000",185000.0
"Coolroe More, Lyre, Banteer, Co. Cork", Co. Cork,6 Bed,5 Bath,Detached,350 m²,"€435,000",435000.0
"Canogdhubh, Tower Street, Rush, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Detached,105 m²,"€375,000",375000.0
"78 Captain's Avenue, Crumlin, Dublin 12", Dublin 12,3 Bed,1 Bath,End of Terrace,108 m²,"€290,000",290000.0
"2 Gleann Rua, Renmore, Murroogh, Co. Galway", Co. Galway,4 Bed,2 Bath,Semi-D,,"€295,000",295000.0
"19 Sycamore Drive, Kilmallock, Co. Limerick", Co. Limerick,5 Bed,2 Bath,Semi-D,,"€225,000",225000.0
"27 Ballyvareen, Kildimo, Co. Limerick", Co. Limerick,3 Bed,3 Bath,Semi-D,101 m²,"€215,000",215000.0
"21 Lintown Avenue, Lintown Hall, Kilkenny City, Kilkenny, Co. Kilkenny", Co. Kilkenny,2 Bed,1 Bath,Apartment,,"AMV: €115,000",115000.0
"6 Castleross, Castletown Road, Dundalk, Co. Louth", Co. Louth,2 Bed,1 Bath,Apartment,,"AMV: €80,000",80000.0
"21 Pearse Park, Co. Waterford", Co. Waterford,3 Bed,1 Bath,Terrace,95 m²,"€200,000",200000.0
"Toomaline, Doon, Co. Limerick", Co. Limerick,4 Bed,2 Bath,Bungalow,155 m²,"€275,000",275000.0
"15 Seafort Villas, Sandymount, Dublin 4", Dublin 4,2 Bed,1 Bath,Terrace,57 m²,"€485,000",485000.0
"10 érd Esker, Athenry, Co. Galway", Co. Galway,3 Bed,2 Bath,Semi-D,95 m²,"€230,000",230000.0
"41 Melvin Fields, Kinlough, Co. Leitrim", Co. Leitrim,3 Bed,3 Bath,Semi-D,120 m²,"€170,000",170000.0
"24 Finn Eber Square, Finglas, Dublin 11", Dublin 11,2 Bed,1 Bath,Terrace,,"€249,000",249000.0
"Fuchsia Hill, Courtmacsherry, Co. Cork", Co. Cork,,,Site,0.1 ac,Price on Application,0.0
"148 The Sweepstakes, Ballsbridge, Dublin 4", Dublin 4,1 Bed,1 Bath,Apartment,52 m²,"€410,000",410000.0
"36 The Chase, Ramsgate Village, Gorey, Co. Wexford", Co. Wexford,4 Bed,3 Bath,Semi-D,115 m²,"€260,000",260000.0
"40 Innismore, Crumlin, Dublin 12", Dublin 12,3 Bed,,Terrace,94 m²,"€350,000",350000.0
"Deerpark, Boyle, Co. Roscommon", Co. Roscommon,3 Bed,1 Bath,Detached,,"€98,000",98000.0
"82 Oldbridge Way, Osberstown, Naas, Co. Kildare", Co. Kildare,3 Bed,3 Bath,Semi-D,,"€349,950",349950.0
"Timolin Road, Ballitore, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Detached,,"€275,000",275000.0
"13 Coopers Wood, Chapel Road, Kinsealy, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,,"€525,000",525000.0
"Maulykeavane, Headford, Killarney, Co. Kerry", Co. Kerry,2 Bed,,Detached,60 m²,"€50,000",50000.0
"Bilberry House, Lough Conn Drive, Annagh Village, Lahardaun, Co. Mayo", Co. Mayo,5 Bed,3 Bath,Detached,,"€195,000",195000.0
"56 Blue Cedars, Ballybofey, Co. Donegal", Co. Donegal,4 Bed,2 Bath,Detached,,"€175,000",175000.0
"4 Sunbury Close, Kilcullen, Co. Kildare", Co. Kildare,4 Bed,2 Bath,Detached,,"€349,950",349950.0
"40 Comeragh View, Mooncoin, Co. Kilkenny", Co. Kilkenny,3 Bed,2 Bath,Semi-D,94 m²,"€170,000",170000.0
"3 Beech Grove, Greenfields, Co. Waterford", Co. Waterford,3 Bed,3 Bath,Terrace,97 m²,"€185,000",185000.0
"11 Lisheen Fields, Ovens, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,169 m²,"€465,000",465000.0
"7 Shelbourne Place, Campile, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Semi-D,105 m²,"€165,000",165000.0
"Upper Main St, Castlerea, Co. Roscommon", Co. Roscommon,4 Bed,3 Bath,Terrace,112 m²,"€82,500",82500.0
"Lisnaboy Cullen, Cullen, Co. Cork", Co. Cork,,,Site,0.5 ac,Price on Application,0.0
"77 Aughnaskerry Drive, Cavan, Co. Cavan", Co. Cavan,3 Bed,2 Bath,Semi-D,85 m²,"€125,000",125000.0
"52 Drumbear Wood, Cootehill Road, Monaghan, Co. Monaghan", Co. Monaghan,3 Bed,2 Bath,Semi-D,,"€195,000",195000.0
"1 St. Edwards Terrace, Sligo, Co. Sligo", Co. Sligo,3 Bed,2 Bath,End of Terrace,102 m²,"€99,000",99000.0
"1 Coolgraney Avenue, Clonskeagh, Dublin 14", Dublin 14,4 Bed,4 Bath,Semi-D,164 m²,"€795,000",795000.0
"""Ardlaois"" (Residence On1.5 Acres)*, Seafield Road / Rock Road, Louth, Co. Louth", Co. Louth,,,Site,1.5 ac,"€650,000",650000.0
"Hotel Castlepollard, Hotel, Castlepollard, Co. Westmeath", Co. Westmeath,17 Bed,,Detached,1485 m²,"€525,000",525000.0
"Site A, Raheen, Clara, Co. Offaly", Co. Offaly,,,Site,,"€60,000",60000.0
"Site D, Raheen, Clara, Co. Offaly", Co. Offaly,,,Site,,"€45,000",45000.0
"Kenbyrne, Ballylibernagh, Bridgetown, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Detached,137 m²,"€200,000",200000.0
"67 Corbawn Drive, Shankill, Dublin 18", Dublin 18,3 Bed,2 Bath,Semi-D,103 m²,"€545,000",545000.0
"8 Caiseal Na Ri, Golden Road, Cashel, Co. Tipperary", Co. Tipperary,4 Bed,3 Bath,Detached,,"€260,000",260000.0
"2 Croi Oige, Dublin Road, Athlone, Co. Westmeath", Co. Westmeath,2 Bed,2 Bath,Apartment,90 m²,"€110,000",110000.0
"1 Croi Oige, Dublin Road, Athlone, Co. Westmeath", Co. Westmeath,3 Bed,3 Bath,Apartment,119 m²,"€125,000",125000.0
"7 Dun An Oir Milford Grange, Castletroy, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Semi-D,,"€215,000",215000.0
"Rathmolyon, Co. Meath", Co. Meath,3 Bed,1 Bath,Detached,39 ac,AMV: Price on Application,0.0
"Carraigeen North, Baltinglass, Co. Wicklow", Co. Wicklow,,,Site,0.89 ac,"€75,000",75000.0
"2 Browneshill Crescent, Chapelstown, Carlow Town, Co. Carlow", Co. Carlow,4 Bed,3 Bath,Detached,189 m²,"€449,500",449500.0
"23 St. Peter's Road, Walkinstown, Dublin 12", Dublin 12,3 Bed,1 Bath,Semi-D,95 m²,"€385,000",385000.0
"5 The Belfry, Belarmine, Stepaside, Dublin 18", Dublin 18,2 Bed,1 Bath,Apartment,71 m²,"€295,000",295000.0
"9 Broadfield Court, Rathcoole, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Terrace,,"€310,000",310000.0
"16 Ashville Close, Lucan, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Semi-D,136 m²,"€495,000",495000.0
"45 Adamstown Avenue, Adamstown, Lucan, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Duplex,111 m²,"€295,000",295000.0
"18 Riverside Rise, Rushbrooke Links, Cobh, Co. Cork", Co. Cork,3 Bed,2 Bath,Terrace,82 m²,"€225,000",225000.0
"9 Edward Place, Bloomfield Avenue, Donnybrook, Dublin 4", Dublin 4,2 Bed,2 Bath,Apartment,76 m²,"€575,000",575000.0
"22 Ashleigh Woods, Monaleen, Co. Limerick", Co. Limerick,4 Bed,3 Bath,Detached,,"€575,000",575000.0
"126 Erris Square, Blanchardstown, Dublin 15", Dublin 15,2 Bed,1 Bath,Apartment,76 m²,"€245,000",245000.0
"38 Ave Maria Road, Marylands, Dublin 8", Dublin 8,1 Bed,1 Bath,Terrace,52 m²,"€250,000",250000.0
"11 Garnish Square, Waterville, Blanchardstown, Dublin 15", Dublin 15,2 Bed,1 Bath,End of Terrace,84 m²,"€295,000",295000.0
"455 Mourne Road, Drimnagh, Dublin 12", Dublin 12,2 Bed,1 Bath,End of Terrace,,"€330,000",330000.0
"Bury Street, Ballina, Co. Mayo", Co. Mayo,,1 Bath,Terrace,98 m²,"€130,000",130000.0
"57 Hazelbrook Road Terenure Dublin 6W, Terenure, Dublin 6", Dublin 6,4 Bed,2 Bath,Semi-D,125 m²,"€695,000",695000.0
"33 Churchview, Clerihan, Co. Tipperary", Co. Tipperary,3 Bed,1 Bath,Semi-D,,"€185,000",185000.0
"20 Sunnyhill, Castlemartin Lodge, Kilcullen, Co. Kildare", Co. Kildare,4 Bed,4 Bath,Detached,172 m²,"€429,950",429950.0
"133 St Colemans Road, Blackpool, Co. Cork", Co. Cork,2 Bed,1 Bath,Terrace,63 m²,"€180,000",180000.0
"14 Oakdale, Templemore, Co. Tipperary", Co. Tipperary,5 Bed,3 Bath,Detached,167 m²,"€320,000",320000.0
"85 Rahanine Manor, Rochfortbridge, Co. Westmeath", Co. Westmeath,3 Bed,3 Bath,Semi-D,,"€185,000",185000.0
"66 Ballygall Parade, Finglas East, Finglas, Dublin 11", Dublin 11,4 Bed,3 Bath,Terrace,97 m²,"€355,000",355000.0
"2 Hazelwood, Hazelhill, Ballyhaunis, Co. Mayo", Co. Mayo,3 Bed,2 Bath,Semi-D,93 m²,"€130,000",130000.0
"19 Cnoc An Lúir, Drumshanbo, Co. Leitrim", Co. Leitrim,4 Bed,3 Bath,Semi-D,125 m²,"€169,950",169950.0
"458 Orwell Park Green, Templeogue, Dublin 6W", Dublin 6W,3 Bed,1 Bath,Semi-D,100 m²,"€525,000",525000.0
"37 Nunnery Lane, New Ross, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Terrace,,"€129,500",129500.0
"1 Cois Na Mara, Fethard On Sea, Fethard-On-Sea, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Detached,,"€295,000",295000.0
"4 Liosan, Newcastle West, Co. Limerick", Co. Limerick,3 Bed,3 Bath,Semi-D,,"€195,000",195000.0
"The Gaels' Rest, Clonattin Road, Gorey, Co. Wexford", Co. Wexford,3 Bed,3 Bath,Terrace,,"€280,000",280000.0
"12 Liscannor Holiday Homes, Liscannor, Co. Clare", Co. Clare,3 Bed,3 Bath,Detached,,"€165,000",165000.0
"31 Summerstown Drive, Glasheen, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,114 m²,"€335,000",335000.0
"10 Balbriggan Road, Skerries, Co. Dublin", Co. Dublin,3 Bed,,Semi-D,,"€585,000",585000.0
"Tara, Knockanure, Moyvane, Co. Kerry", Co. Kerry,4 Bed,2 Bath,Detached,,"€249,000",249000.0
"16 Drynam Close, Drynam Hall, Kinsealy, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Townhouse,,"€350,000",350000.0
"18 Stradbrook Park, Blackrock, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Semi-D,67 m²,"€495,000",495000.0
"Cam Cor, 10 Beechpark, Athlone, Co. Westmeath", Co. Westmeath,3 Bed,2 Bath,Semi-D,,"€369,000",369000.0
"30 Connolly Avenue, Navan, Co. Meath", Co. Meath,2 Bed,1 Bath,End of Terrace,,"€225,000",225000.0
"The Demesne, Frenchpark, Co. Roscommon", Co. Roscommon,4 Bed,3 Bath,Detached,166 m²,"€220,000",220000.0
"17 Serpentine Avenue, Ballsbridge, Sandymount, Dublin 4", Dublin 4,3 Bed,3 Bath,Terrace,165 m²,"€1,495,000",1495000.0
"Site at Shannon Oughter, Sligo, Co. Sligo", Co. Sligo,,,Site,0.74 ac,"AMV: €75,000",75000.0
"Cappanacush East, Kenmare, Co. Kerry", Co. Kerry,5 Bed,5 Bath,Detached,,"€500,000",500000.0
"Listerlin, Tullogher, Co. Kilkenny", Co. Kilkenny,4 Bed,2 Bath,Detached,2000 m²,"€295,000",295000.0
